kmetstvo,name,center,document,category
BGS01-01,Дрянковец,23889,1896,
BGS01-02,Зетьово,30805,1896,
BGS01-03,Карагеоргиево,36227,2,
BGS01-04,Караново,36381,2,
BGS01-06,Малка поляна,46440,660,
BGS01-07,Мъглен,49477,2,
BGS01-08,Пещерско,56321,2,
BGS01-09,Пирне,56438,2,
BGS01-10,Поляново,57426,660,
BGS01-11,Раклиново,62013,1896,
BGS01-12,Съдиево,70473,1896,
BGS01-13,Тополица,72727,2,
BGS01-14,Черна могила,80813,660,
BGS01-15,Черноград,81102,2,
BGS01-16,Чукарка,81640,2,
BGS04-02,Братово,06152,1896,
BGS04-03,Брястовец,06776,1896,
BGS04-04,Българово,07332,2,
BGS04-05,Драганово,23090,2,
BGS04-07,Изворище,32425,2,
BGS04-09,Маринка,47202,2,
BGS04-10,Равнец,61145,2,
BGS04-12,Твърдица,72151,2,
BGS04-14,Димчево,21141,1896,
BGS04-15,Извор,32367,1678,
BGS06-05,Дебелт,20273,2,
BGS06-08,Драчево,23604,2,
BGS06-09,Дюлево,24712,1896,
BGS06-10,Момина църква,29221,1896,
BGS06-11,Загорци,30168,1896,
BGS06-15,Орлинци,53984,1896,
BGS06-18,Светлина,65560,1896,
BGS06-23,Факия,76039,1896,
BGS06-24,Зорница,31379,1896,
BGS08-01,Винарско,11096,2,
BGS08-02,Вратица,12245,1896,
BGS08-03,Желязово,29249,1896,
BGS08-04,Кръстина,40381,2,
BGS08-05,Ливада,43623,1896,
BGS08-06,Константиново,52279,1896,
BGS08-07,Полски извор,57337,1896,
BGS08-08,Русокастро,63478,2,
BGS08-09,Свобода,65783,2,
BGS08-10,Трояново,73211,2,
BGS08-11,Тръстиково,73388,1896,
BGS08-12,Черни връх,80916,2,
BGS09-01,Аспарухово,00775,1896,
BGS09-02,Детелина,02765,1896,
BGS09-03,Венец,10625,1896,
BGS09-05,Деветак,20417,1896,
BGS09-07,Добриново,21508,1896,
BGS09-09,Драгово,23306,660,
BGS09-10,Екзарх Антимово,27169,2,
BGS09-12,Житосвят,29492,1896,
BGS09-13,Зимен,30853,1896,
BGS09-14,Искра,32809,2,
BGS09-15,Кликач,37201,2,
BGS09-16,Крумово градище,40021,2,
BGS09-19,Невестино,51202,2,
BGS09-22,Сигмен,66408,1896,
BGS09-23,Соколово,67920,660,
BGS09-24,Сърнево,70576,1896,
BGS09-26,Хаджиите,77089,660,
BGS09-28,Церковски,78416,1896,
BGS09-29,Черково,80755,1896,
BGS09-30,Огнен,53312,1896,
BGS12-05,Граматиково,17693,1896,
BGS12-07,Звездец,30483,2,
BGS13-01,Ахтопол,00878,2,
BGS13-02,Бродилово,06553,1896,
BGS13-04,Варвара,10094,1896,
BGS13-07,Кости,38947,1896,
BGS13-08,Лозенец,44094,2,
BGS13-12,Синеморец,66528,1896,
BGS15-01,Баня,02703,1896,
BGS15-02,Свети Влас,11538,2,
BGS15-03,Гюльовца,18469,2,
BGS15-04,Кошарица,39164,2,
BGS15-05,Обзор,53045,2,
BGS15-06,Оризаре,53822,2,
BGS15-08,Равда,61056,2,
BGS15-09,Тънково,73571,2,
BGS17-02,Ахелой,00833,2,
BGS17-03,Бата,02810,2,
BGS17-04,Габерово,14057,2,
BGS17-05,Горица,16064,2,
BGS17-06,Гълъбец,18229,2,
BGS17-07,Дъбник,24253,2,
BGS17-08,Белодол,27440,660,
BGS17-09,Каблешково,35033,2,
BGS17-10,Каменар,35691,1896,
BGS17-11,Козичино,37753,1896,
BGS17-12,Косовец,38769,1896,
